FY,COUNTY,CODISTSCH,DISTRICTLNAME,v,FREELUNCH,REDUCEDLUNCH,FREEREDUCEDLUNCH,PERCENT
2014-2015,DAKOTA,220701000,ST MICHAEL ELEMENTARY SCHOOL,161,98,23,121,75.16
2014-2015,DAWES,230002000,CHADRON PUBLIC SCHOOLS,867,218,119,337,38.87
2014-2015,DAWES,230071000,CRAWFORD PUBLIC SCHOOLS,231,92,35,127,54.98
2014-2015,DAWES,230601000,PINE RIDGE JOB CORPS,104,,,,
2014-2015,DAWES,230701000,PRAIRIE VIEW S D A SCHOOL,16,,,,
2014-2015,DAWES,230704000,TRUNK BUTTE CHRISTIAN SCHOOL,6,,,,
2014-2015,DAWSON,240001000,LEXINGTON PUBLIC SCHOOLS,2995,1809,399,2208,73.72
2014-2015,DAWSON,240004000,OVERTON PUBLIC SCHOOLS,328,109,63,172,52.44
2014-2015,DAWSON,240011000,COZAD COMMUNITY SCHOOLS,958,370,101,471,49.16
2014-2015,DAWSON,240020000,GOTHENBURG PUBLIC SCHOOLS,936,187,73,260,27.78
2014-2015,DAWSON,240101000,SUMNER-EDDYVILLE-MILLER SCHS,204,68,50,118,57.84
2014-2015,DEUEL,250025000,CREEK VALLEY SCHOOLS,233,71,27,98,42.06
2014-2015,DEUEL,250095000,SOUTH PLATTE PUBLIC SCHOOLS,167,70,20,90,53.89
2014-2015,DIXON,260001000,PONCA PUBLIC SCHOOLS,467,80,57,137,29.34
2014-2015,DIXON,260070000,ALLEN CONSOLIDATED SCHOOLS,212,65,23,88,41.51
2014-2015,DIXON,260561000,EMERSON-HUBBARD PUBLIC SCHOOLS,263,82,27,109,41.44
2014-2015,DODGE,270001000,FREMONT PUBLIC SCHOOLS,4754,2224,650,2874,60.45
2014-2015,DODGE,270062000,SCRIBNER-SNYDER COMMUNITY SCHS,204,81,24,105,51.47
2014-2015,DODGE,270594000,LOGAN VIEW PUBLIC SCHOOLS,529,145,59,204,38.56
2014-2015,DODGE,270595000,NORTH BEND CENTRAL PUBLIC SCHS,613,129,82,211,34.42
2014-2015,DODGE,270701000,ARCHBISHOP BERGAN SCHOOL,170,,,15,8.82
2014-2015,DODGE,270702000,TRINITY LUTHERAN ELEM SCHOOLS,215,,,19,8.84
2014-2015,DODGE,270704000,ST WENCESLAUS ELEM SCHOOL,49,,,,
2014-2015,DODGE,270706000,ARCHBISHOP BERGAN ELEMENTARY,200,22,16,38,19
2014-2015,DOUGLAS,280001000,OMAHA PUBLIC SCHOOLS,51928,33003,5039,38042,73.26
2014-2015,DOUGLAS,280010000,ELKHORN PUBLIC SCHOOLS,7553,338,184,522,6.91
2014-2015,DOUGLAS,280015000,DOUGLAS CO WEST COMMUNITY SCHS,836,204,67,271,32.42
2014-2015,DOUGLAS,280017000,MILLARD PUBLIC SCHOOLS,23702,3020,1243,4263,17.99
2014-2015,DOUGLAS,280054000,RALSTON PUBLIC SCHOOLS,3179,1241,477,1718,54.04
2014-2015,DOUGLAS,280059000,BENNINGTON PUBLIC SCHOOLS,1922,113,49,162,8.43
2014-2015,DOUGLAS,280066000,WESTSIDE COMMUNITY SCHOOLS,6106,1533,415,1948,31.9
2014-2015,DOUGLAS,280602000,NE CORRECTIONAL YOUTH FACILITY,45,,,39,86.67
2014-2015,DOUGLAS,280703000,BOYS TOWN SCHOOLS,320,,,,
2014-2015,DOUGLAS,280704000,VALOR CHRISTIAN ACADEMY INC,11,,,,
2014-2015,DOUGLAS,280706000,BROWNELL TALBOT SCHOOLS,447,,,,
2014-2015,DOUGLAS,280707000,PHOENIX ACADEMY DAY SCHOOL,82,,,,
2014-2015,DOUGLAS,280708000,ST STEPHEN THE MARTYR SCHOOL,822,,,,
2014-2015,DOUGLAS,280709000,ALL SAINTS CATHOLIC SCHOOL,136,95,13,108,79.41
2014-2015,DOUGLAS,280711000,CHILDREN'S ROOM,138,,,,
2014-2015,DOUGLAS,280712000,CHRIST THE KING CATHOLIC SCH,361,,,20,5.54
2014-2015,DOUGLAS,280713000,CREIGHTON PREPARATORY SCHOOL,1018,,,,
2014-2015,DOUGLAS,280716000,DUCHESNE ACADEMY,311,,,,
2014-2015,DOUGLAS,280718000,GETHSEMANE LUTHERAN ELEMENTARY,107,,,11,10.28
2014-2015,DOUGLAS,280719000,GOOD SHEPHERD ELEMENTARY SCH,119,,,21,17.65
2014-2015,DOUGLAS,280720000,HOLY CROSS CATHOLIC SCHOOL,342,52,12,64,18.71
2014-2015,DOUGLAS,280722000,HOLY NAME ELEMENTARY SCHOOL,183,85,29,114,62.3
2014-2015,DOUGLAS,280723000,ST PATRICK'S CATHOLIC SCHOOL,802,,,,
2014-2015,DOUGLAS,280725000,MADONNA SCHOOL,63,,,19,30.16
2014-2015,DOUGLAS,280726000,MARIAN HIGH SCHOOL,671,25,20,45,6.71
2014-2015,DOUGLAS,280727000,MARY OUR QUEEN ELEM SCHOOL,498,21,27,48,9.64
2014-2015,DOUGLAS,280728000,OMAHA MEMORIAL SCHOOL OF S D A,36,,,,
2014-2015,DOUGLAS,280729000,ST VINCENT DE PAUL ELEMENTARY,876,,,27,3.08
2014-2015,DOUGLAS,280730000,MERCY HIGH SCHOOL,404,,,,
2014-2015,DOUGLAS,280731000,MONTESSORI EDUCATIONAL CNTRS,11,,,,
2014-2015,DOUGLAS,280733000,MT MICHAEL BENEDICTINE H S,243,,,,
2014-2015,DOUGLAS,280736000,OUR LADY OF LOURDES ELEM SCH,258,54,19,73,28.29
2014-2015,DOUGLAS,280737000,MONTESSORI LEARN CTR OF DUNDEE,30,,,,
2014-2015,DOUGLAS,280740000,RONCALLI CATHOLIC HIGH SCHOOL,361,,,,
2014-2015,DOUGLAS,280741000,SACRED HEART ELEMENTARY SCHOOL,136,112,12,124,91.18
2014-2015,DOUGLAS,280744000,PRIMROSE SCHOOL OF LEGACY,69,,,,
2014-2015,DOUGLAS,280746000,ST BERNARD ELEMENTARY SCHOOL,179,28,19,47,26.26
2014-2015,DOUGLAS,280748000,ST CECILIA CATHEDRAL SCHOOL,305,35,21,56,18.36
2014-2015,DOUGLAS,280749000,SKUTT CATHOLIC HIGH SCHOOL,711,,,,
2014-2015,DOUGLAS,280751000,ST GERALD ELEMENTARY SCHOOL,393,22,20,42,10.69
2014-2015,DOUGLAS,280752000,ST JAMES-SETON ELEMENTARY SCH,566,27,38,65,11.48
2014-2015,DOUGLAS,280753000,ST JOAN OF ARC ELEMENTARY SCH,117,19,10,29,24.79
2014-2015,DOUGLAS,280754000,CONCORDIA LUTHERAN SCHOOLS OF OMAHA,532,,,16,3.01
2014-2015,DOUGLAS,280755000,ST MARGARET MARY ELEM SCHOOL,531,,,20,3.77
2014-2015,DOUGLAS,280757000,ST PAUL LUTHERAN ELEM SCHOOL,59,,,37,62.71
2014-2015,DOUGLAS,280759000,STS PETER & PAUL ELEM SCHOOL,201,101,28,129,64.18
2014-2015,DOUGLAS,280760000,ST PHILIP NERI ELEM SCHOOL,169,41,27,68,40.24
2014-2015,DOUGLAS,280761000,ST PIUS X / ST LEO ELEMENTARY,720,72,36,108,15
2014-2015,DOUGLAS,280763000,ST ROBERT BELLARMINE ELEM,616,,,21,3.41
2014-2015,DOUGLAS,280765000,ST THOMAS MORE ELEM SCHOOL,396,52,20,72,18.18
2014-2015,DOUGLAS,280766000,ALLELUIA! PRESCHOOLS,55,,,,
2014-2015,DOUGLAS,280767000,OMAHA CHRISTIAN ACADEMY,276,,,27,9.78
2014-2015,DOUGLAS,280768000,LEGACY PRIMARY SCHOOL,9,,,,
2014-2015,DOUGLAS,280774000,THE HILLS MONTESSORI SCHOOL,4,,,,
2014-2015,DOUGLAS,280780000,LIFEGATE CHRISTIAN SCHOOL,325,,,,
2014-2015,DOUGLAS,280790000,MONTESSORI PARENT'S CO-OP,57,,,,
2014-2015,DOUGLAS,280791000,ST WENCESLAUS SCHOOL,804,,,10,1.24
2014-2015,DOUGLAS,280796000,OMAHA STREET SCHOOL,20,,,,
2014-2015,DUNDY,290117000,DUNDY CO STRATTON PUBLIC SCHS,342,118,46,164,47.95
2014-2015,FILLMORE,300001000,EXETER-MILLIGAN PUBLIC SCHOOLS,189,22,14,36,19.05
2014-2015,FILLMORE,300025000,FILLMORE CENTRAL PUBLIC SCHS,542,123,49,172,31.73
2014-2015,FILLMORE,300054000,SHICKLEY PUBLIC SCHOOLS,148,,,22,14.86
2014-2015,FILLMORE,300600000,GENEVA NORTH SCHOOL,41,,,,
2014-2015,FILLMORE,300701000,GRACE LUTHERAN ELEMENTARY SCH,27,,,12,44.44
2014-2015,FRANKLIN,310506000,FRANKLIN PUBLIC SCHOOLS,307,109,44,153,49.84
2014-2015,FRONTIER,320046000,MAYWOOD PUBLIC SCHOOLS,171,40,24,64,37.43
2014-2015,FRONTIER,320095000,EUSTIS-FARNAM PUBLIC SCHOOLS,205,64,31,95,46.34
2014-2015,FRONTIER,320125000,MEDICINE VALLEY PUBLIC SCHOOLS,220,49,24,73,33.18
2014-2015,FURNAS,330018000,ARAPAHOE PUBLIC SCHOOLS,331,105,56,161,48.64
2014-2015,FURNAS,330021000,CAMBRIDGE PUBLIC SCHOOLS,328,77,72,149,45.43
2014-2015,FURNAS,330540000,SOUTHERN VALLEY SCHOOLS,462,178,64,242,52.38
2014-2015,GAGE,340001000,SOUTHERN SCHOOL DIST 1,417,162,37,199,47.72
2014-2015,GAGE,340015000,BEATRICE PUBLIC SCHOOLS,2144,832,220,1052,49.07
2014-2015,GAGE,340034000,FREEMAN PUBLIC SCHOOLS,449,52,41,93,20.71
2014-2015,GAGE,340100000,DILLER-ODELL PUBLIC SCHOOLS,275,66,26,92,33.45
2014-2015,GAGE,340701000,ST JOSEPH ELEMENTARY SCHOOL,86,,,,
2014-2015,GAGE,340702000,ST PAUL'S LUTHERAN ELEM SCHOOL,143,,,15,10.49
2014-2015,GARDEN,350001000,GARDEN COUNTY SCHOOLS,257,109,43,152,59.14
2014-2015,GARFIELD,360100000,BURWELL PUBLIC SCHOOLS,361,89,44,133,36.84
2014-2015,GOSPER,370030000,ELWOOD PUBLIC SCHOOLS,223,75,29,104,46.64
2014-2015,GRANT,380011000,HYANNIS AREA SCHOOLS,156,53,22,75,48.08
2014-2015,GREELEY,390060000,CENTRAL VALLEY PUBLIC SCHOOLS,301,109,50,159,52.82
2014-2015,GREELEY,390702000,SPALDING ACADEMY,79,17,14,31,39.24
2014-2015,HALL,400002000,GRAND ISLAND PUBLIC SCHOOLS,9553,5112,1148,6260,65.53
2014-2015,HALL,400082000,NORTHWEST PUBLIC SCHOOLS,1453,289,140,429,29.53
2014-2015,HALL,400083000,WOOD RIVER RURAL SCHOOLS,572,190,83,273,47.73
2014-2015,HALL,400126000,DONIPHAN-TRUMBULL PUBLIC SCHS,489,95,52,147,30.06
2014-2015,HALL,400701000,CENTRAL CATHOLIC SCHOOLS,307,,,,
2014-2015,HALL,400704000,TRINITY LUTHERAN ELEM SCHOOL,147,,,24,16.33
2014-2015,HALL,400705000,PLATTE VALLEY SDA ELEMENTARY SCHOOL,7,,,,
2014-2015,HALL,400707000,NEW HOPE CHRISTIAN ELEM SCHOOL,24,,,,
2014-2015,HALL,400708000,GRAND ISLAND CHRISTIAN SCHOOL,31,,,,
2014-2015,HALL,400711000,HEARTLAND LUTHERAN HIGH SCHOOL,74,,,,
2014-2015,HAMILTON,410002000,GILTNER PUBLIC SCHOOLS,196,55,26,81,41.33
2014-2015,HAMILTON,410091000,HAMPTON PUBLIC SCHOOLS,158,18,33,51,32.28
2014-2015,HAMILTON,410504000,AURORA PUBLIC SCHOOLS,1223,247,143,390,31.89
2014-2015,HAMILTON,410701000,IMMANUEL LUTHERAN ELEM SCHOOL,22,,,,
2014-2015,HAMILTON,410702000,HAMPTON LUTHERAN ELEM SCHOOL,47,,,,
2014-2015,HARLAN,420002000,ALMA PUBLIC SCHOOLS,279,84,30,114,40.86
2014-2015,HAYES,430079000,HAYES CENTER PUBLIC SCHOOLS,105,32,17,49,46.67
2014-2015,HITCHCOCK,440070000,HITCHCOCK CO SCH SYSTEM,294,117,47,164,55.78
2014-2015,HOLT,450007000,O'NEILL PUBLIC SCHOOLS,792,294,87,381,48.11
2014-2015,HOLT,450029000,EWING PUBLIC SCHOOLS,129,51,37,88,68.22
2014-2015,HOLT,450044000,STUART PUBLIC SCHOOLS,183,55,41,96,52.46
2014-2015,HOLT,450137000,CHAMBERS PUBLIC SCHOOLS,118,23,19,42,35.59
2014-2015,HOLT,450239000,WEST HOLT PUBLIC SCHOOLS,419,129,53,182,43.44
2014-2015,HOLT,450701000,ST MARY'S SCHOOLS,189,,,21,11.11
2014-2015,HOLT,450703000,ST JOSEPH'S ELEMENTARY SCHOOL,53,,,13,24.53
2014-2015,HOOKER,460001000,MULLEN PUBLIC SCHOOLS,174,34,41,75,43.1
2014-2015,HOWARD,470001000,ST PAUL PUBLIC SCHOOLS,714,148,43,191,26.75
2014-2015,HOWARD,470100000,CENTURA PUBLIC SCHOOLS,496,94,83,177,35.69
2014-2015,HOWARD,470103000,ELBA PUBLIC SCHOOLS,99,,,58,58.59
2014-2015,JEFFERSON,480008000,FAIRBURY PUBLIC SCHOOLS,945,362,112,474,50.16
2014-2015,JEFFERSON,480300000,TRI COUNTY PUBLIC SCHOOLS,381,89,44,133,34.91
2014-2015,JEFFERSON,480303000,MERIDIAN PUBLIC SCHOOLS,221,90,21,111,50.23
2014-2015,JEFFERSON,480702000,ST PAUL'S LUTHERAN ELEM SCHOOL,72,,,,
2014-2015,JOHNSON,490033000,STERLING PUBLIC SCHOOLS,216,41,16,57,26.39
2014-2015,JOHNSON,490050000,JOHNSON CO CENTRAL PUBLIC SCHS,549,227,86,313,57.01
2014-2015,JOHNSON,490702000,ST ANDREW ELEMENTARY SCHOOL,21,,,20,95.24
2014-2015,KEARNEY,500001000,WILCOX-HILDRETH PUBLIC SCHOOLS,212,41,34,75,35.38
2014-2015,KEARNEY,500501000,AXTELL COMMUNITY SCHOOLS,263,36,38,74,28.14
2014-2015,KEARNEY,500503000,MINDEN PUBLIC SCHOOLS,788,214,96,310,39.34
2014-2015,KEITH,510001000,OGALLALA PUBLIC SCHOOLS,861,315,99,414,48.08
2014-2015,KEITH,510006000,PAXTON CONSOLIDATED SCHOOLS,228,82,27,109,47.81
2014-2015,KEITH,510701000,ST LUKE ELEMENTARY SCHOOL,58,,,15,25.86
2014-2015,KEITH,510702000,ST PAUL'S LUTHERAN ELEM SCHOOL,63,,,10,15.87
2014-2015,KEYA PAHA,520100000,KEYA PAHA COUNTY SCHOOLS,102,,,40,39.22
2014-2015,KIMBALL,530001000,KIMBALL PUBLIC SCHOOLS,538,208,106,314,58.36
2014-2015,KNOX,540013000,CREIGHTON COMMUNITY PUBLIC SCHOOLS,333,91,22,113,33.93
2014-2015,KNOX,540096000,CROFTON COMMUNITY SCHOOLS,326,50,58,108,33.13
2014-2015,KNOX,540501000,NIOBRARA PUBLIC SCHOOLS,198,135,16,151,76.26
2014-2015,KNOX,540505000,SANTEE COMMUNITY SCHOOLS,180,,,176,97.78
2014-2015,KNOX,540576000,WAUSA PUBLIC SCHOOLS,223,59,33,92,41.26
2014-2015,KNOX,540586000,BLOOMFIELD COMMUNITY SCHOOLS,253,63,38,101,39.92
2014-2015,KNOX,540701000,ST LUDGER ELEMENTARY SCHOOL,27,,,17,62.96
2014-2015,KNOX,540702000,ST ROSE OF LIMA ELEM SCHOOL,120,,,20,16.67
2014-2015,LANCASTER,550001000,LINCOLN PUBLIC SCHOOLS,39034,13992,2638,16630,42.6
2014-2015,LANCASTER,550145000,WAVERLY SCHOOL DISTRICT 145,1963,242,123,365,18.59
2014-2015,LANCASTER,550148000,MALCOLM PUBLIC SCHOOLS,516,47,13,60,11.63
2014-2015,LANCASTER,550160000,NORRIS SCHOOL DIST 160,2178,163,81,244,11.2
2014-2015,LANCASTER,550161000,RAYMOND CENTRAL PUBLIC SCHOOLS,581,78,34,112,19.28
2014-2015,LANCASTER,550605000,UNIVERSITY OF NEBRASKA HIGH SCHOOL,66,,,,
2014-2015,LANCASTER,550701000,BLESSED SACRAMENT ELEM SCHOOL,195,55,16,71,36.41
2014-2015,LANCASTER,550702000,MESSIAH LUTHERAN ELEMENTARY  SCHOOL,275,,,,
2014-2015,LANCASTER,550703000,CATHEDRAL OF RISEN CHRIST ELEM,330,30,23,53,16.06
2014-2015,LANCASTER,550704000,LINCOLN CHRISTIAN SCHOOLS,645,32,56,88,13.64
2014-2015,LANCASTER,550706000,LINCOLN LUTHERAN MS/SR HIGH,319,,,15,4.7
2014-2015,LANCASTER,550707000,PIUS X HIGH SCHOOL,1168,63,54,117,10.02
2014-2015,LANCASTER,550708000,SACRED HEART ELEM SCHOOL,153,57,15,72,47.06
2014-2015,LANCASTER,550709000,COLLEGE VIEW ACADEMY,221,,,,
2014-2015,LANCASTER,550711000,GEORGE STONE ELEMENTARY S D A,15,,,,
2014-2015,LANCASTER,550712000,ST JOHN'S ELEMENTARY SCHOOL,369,,,,
2014-2015,LANCASTER,550713000,ST MARK ELEMENTARY SCHOOL,19,,,,
2014-2015,LANCASTER,550714000,ST MARY'S ELEMENTARY SCHOOL,153,52,29,81,52.94
2014-2015,LANCASTER,550715000,ST PATRICK'S ELEMENTARY SCHOOL,155,31,20,51,32.9
2014-2015,LANCASTER,550716000,ST TERESA ELEMENTARY SCHOOL,286,31,31,62,21.68
2014-2015,LANCASTER,550717000,TRINITY LUTHERAN ELEM SCHOOL,120,,,17,14.17
2014-2015,LANCASTER,550719000,ST JOSEPH'S CATHOLIC SCHOOL,473,22,21,43,9.09
2014-2015,LANCASTER,550720000,VILLA MARIE SCHOOL,10,,,,
2014-2015,LANCASTER,550728000,FAITH LUTHERAN SCHOOL,107,,,,
2014-2015,LANCASTER,550734000,TRINITY KINDERGARTEN PROGRAM,9,,,,
2014-2015,LANCASTER,550743000,PRAIRIE HILL LEARNING CENTER,62,,,,
2014-2015,LANCASTER,550745000,CHILDREN'S CIRCLE MONTESSORI,30,,,,
2014-2015,LANCASTER,550753000,ST PETER'S CATHOLIC SCHOOL,452,10,10,20,4.42
2014-2015,LANCASTER,550754000,CHILD VIEW MONTESSORI,43,,,,
2014-2015,LANCASTER,550755000,PARKVIEW CHRISTIAN SCHOOLS,131,,,,
2014-2015,LANCASTER,550758000,NORTH AMERICAN MARTYRS SCHOOL,578,35,13,48,8.3
2014-2015,LANCASTER,550759000,BERNIKLAU ED SOLUTIONS TEAM,13,,,,
2014-2015,LANCASTER,550762000,GOOD SHEPHERD LUTHERAN SCHOOL,74,,,,
2014-2015,LANCASTER,550764000,CHRIST ELEMENTARY SCHOOL,139,,,,
2014-2015,LANCASTER,550765000,LINCOLN MONTESSORI SCHOOL,7,,,,
2014-2015,LANCASTER,550766000,ST MICHAEL CATHOLIC SCHOOL,277,,,10,3.61
2014-2015,LINCOLN,560001000,NORTH PLATTE PUBLIC SCHOOLS,4280,1609,342,1951,45.58
2014-2015,LINCOLN,560006000,BRADY PUBLIC SCHOOLS,202,41,32,73,36.14
2014-2015,LINCOLN,560007000,MAXWELL PUBLIC SCHOOLS,228,40,30,70,30.7
2014-2015,LINCOLN,560037000,HERSHEY PUBLIC SCHOOLS,519,87,36,123,23.7
2014-2015,LINCOLN,560055000,SUTHERLAND PUBLIC SCHOOLS,340,63,36,99,29.12
2014-2015,LINCOLN,560565000,WALLACE PUBLIC SCH DIST 65 R,195,,,46,23.59
2014-2015,LINCOLN,560701000,OUR REDEEMER LUTHERAN ELEM SCH,75,,,,
2014-2015,LINCOLN,560702000,NORTH PLATTE CATHOLIC SCHOOLS,475,,,56,11.79
2014-2015,LINCOLN,560706000,PLATTE VALLEY CHRISTIAN ACADM,14,,,,
2014-2015,LOGAN,570501000,STAPLETON PUBLIC SCHOOLS,214,54,32,86,40.19
2014-2015,LOUP,580025000,LOUP COUNTY PUBLIC SCHOOLS,77,,,31,40.26
2014-2015,MADISON,590001000,MADISON PUBLIC SCHOOLS,540,322,63,385,71.3
2014-2015,MADISON,590002000,NORFOLK PUBLIC SCHOOLS,4199,1698,396,2094,49.87
2014-2015,MADISON,590005000,BATTLE CREEK PUBLIC SCHOOLS,414,60,24,84,20.29
2014-2015,MADISON,590013000,NEWMAN GROVE PUBLIC SCHOOLS,191,68,32,100,52.36
2014-2015,MADISON,590080000,ELKHORN VALLEY SCHOOLS,341,78,44,122,35.78
2014-2015,MADISON,590702000,ST LEONARD'S ELEMENTARY SCHOOL,31,,,12,38.71
2014-2015,MADISON,590703000,TRINITY LUTHERAN ELEM SCHOOL,60,,,,
2014-2015,MADISON,590704000,NORFOLK CATHOLIC SCHOOLS,613,39,38,77,12.56
2014-2015,MADISON,590706000,CHRIST LUTHERAN ELEM SCHOOL,323,10,15,25,7.74
2014-2015,MADISON,590707000,ST PAUL'S LUTHERAN ELEM SCHOOL,103,,,,
2014-2015,MADISON,590708000,ST JOHN LUTHERAN ELEM SCHOOL,110,,,13,11.82
2014-2015,MADISON,590712000,KEYSTONE CHRISTIAN ACADEMY,51,,,,
2014-2015,MADISON,590714000,LUTHERAN HIGH NORTHEAST,120,,,,
2014-2015,MCPHERSON,600090000,MC PHERSON COUNTY SCHOOLS,82,,,,
2014-2015,MERRICK,610004000,CENTRAL CITY PUBLIC SCHOOLS,688,186,102,288,41.86
2014-2015,MERRICK,610049000,PALMER PUBLIC SCHOOLS,287,61,46,107,37.28
2014-2015,MERRICK,610701000,NEBRASKA CHRISTIAN SCHOOLS,197,,,,
2014-2015,MERRICK,610703000,ZION LUTHERAN ELEMENTARY SCH,16,,,,
2014-2015,MORRILL,620021000,BAYARD PUBLIC SCHOOLS,439,163,55,218,49.66
2014-2015,MORRILL,620063000,BRIDGEPORT PUBLIC SCHOOLS,482,161,76,237,49.17
2014-2015,NANCE,630001000,FULLERTON PUBLIC SCHOOLS,306,77,34,111,36.27
2014-2015,NANCE,630030000,TWIN RIVER PUBLIC SCHOOLS,494,100,45,145,29.35
2014-2015,NEMAHA,640023000,JOHNSON-BROCK PUBLIC SCHOOLS,304,54,53,107,35.2
2014-2015,NEMAHA,640029000,AUBURN PUBLIC SCHOOLS,866,274,55,329,37.99
2014-2015,NUCKOLLS,650011000,SUPERIOR PUBLIC SCHOOLS,469,142,66,208,44.35
2014-2015,NUCKOLLS,650701000,SACRED HEART ELEMENTARY SCHOOL,7,,,,
2014-2015,NUCKOLLS,652005000,SOUTH CENTRAL NEBRASKA UNIFIED 5,720,175,117,292,40.56
2014-2015,OTOE,660027000,SYRACUSE-DUNBAR-AVOCA SCHOOLS,723,117,57,174,24.07
2014-2015,OTOE,660111000,NEBRASKA CITY PUBLIC SCHOOLS,1416,537,121,658,46.47
2014-2015,OTOE,660501000,PALMYRA DISTRICT O R 1,479,74,28,102,21.29
2014-2015,OTOE,660701000,NEBRASKA CITY LOURDES CENTRAL,363,44,17,61,16.8
2014-2015,PAWNEE,670001000,PAWNEE CITY PUBLIC SCHOOLS,297,109,33,142,47.81
2014-2015,PAWNEE,670069000,LEWISTON CONSOLIDATED SCHOOLS,179,76,10,86,48.04
2014-2015,PERKINS,680020000,PERKINS COUNTY SCHOOLS,427,99,53,152,35.6
2014-2015,PHELPS,690044000,HOLDREGE PUBLIC SCHOOLS,1107,262,106,368,33.24
2014-2015,PHELPS,690054000,BERTRAND PUBLIC SCHOOLS,279,73,42,115,41.22
2014-2015,PHELPS,690055000,LOOMIS PUBLIC SCHOOLS,206,37,27,64,31.07
2014-2015,PHELPS,690705000,ALL SAINTS CATHOLIC SCHOOL,62,,,,
2014-2015,PIERCE,700002000,PIERCE PUBLIC SCHOOLS,663,83,53,136,20.51
2014-2015,PIERCE,700005000,PLAINVIEW PUBLIC SCHOOLS,333,78,51,129,38.74
2014-2015,PIERCE,700542000,OSMOND COMMUNITY SCHOOLS,216,57,20,77,35.65
2014-2015,PIERCE,700701000,ZION LUTHERAN ELEMENTARY SCH,104,,,10,9.62
2014-2015,PIERCE,700702000,ZION LUTHERAN ELEMENTARY SCH,31,,,,
2014-2015,PIERCE,700703000,IMMANUEL LUTHERAN ELEM SCH,29,,,,
2014-2015,PIERCE,700705000,ST MARY ELEMENTARY SCHOOL,47,,,15,31.91
2014-2015,PLATTE,710001000,COLUMBUS PUBLIC SCHOOLS,3740,1399,488,1887,50.45
2014-2015,PLATTE,710005000,LAKEVIEW COMMUNITY SCHOOLS,776,226,82,308,39.69
2014-2015,PLATTE,710067000,HUMPHREY PUBLIC SCHOOLS,263,48,33,81,30.8
2014-2015,PLATTE,710701000,IMMANUEL LUTHERAN ELEM SCHOOL,175,,,22,12.57
2014-2015,PLATTE,710702000,ST ANTHONY ELEMENTARY SCHOOL,102,16,16,32,31.37
2014-2015,PLATTE,710703000,ST BONAVENTURE ELEM SCHOOL,186,23,18,41,22.04
2014-2015,PLATTE,710704000,ST ISIDORE ELEMENTARY SCHOOL,258,10,10,20,7.75
2014-2015,PLATTE,710705000,SCOTUS CENTRAL CATHOLIC,364,11,22,33,9.07
2014-2015,PLATTE,710706000,HOLY FAMILY SCHOOLS,105,,,,
2014-2015,PLATTE,710708000,ST FRANCIS SCHOOLS,192,13,24,37,19.27
2014-2015,PLATTE,710710000,ST JOHN LUTHERAN ELEM SCHOOL,18,,,,
2014-2015,PLATTE,710711000,CHRIST LUTHERAN ELEMENTARY SCH,24,,,,
2014-2015,PLATTE,710712000,COLUMBUS CHRISTIAN SCHOOL,50,,,12,24
2014-2015,PLATTE,710715000,COLUMBUS SDA SCHOOL,11,,,,
2014-2015,POLK,720015000,CROSS COUNTY COMMUNITY SCHOOLS,370,85,39,124,33.51
2014-2015,POLK,720019000,OSCEOLA PUBLIC SCHOOLS,276,72,38,110,39.86
2014-2015,POLK,720032000,SHELBY - RISING CITY PUBLIC SCHOOLS,391,94,36,130,33.25
2014-2015,POLK,720075000,HIGH PLAINS COMMUNITY SCHOOLS,247,89,32,121,48.99
2014-2015,POLK,720701000,POLK COUNTY CHRISTIAN SCHOOL,12,,,,
2014-2015,RED WILLOW,730017000,MC COOK PUBLIC SCHOOLS,1437,468,170,638,44.4
2014-2015,RED WILLOW,730179000,SOUTHWEST PUBLIC SCHOOLS,294,108,44,152,51.7
2014-2015,RED WILLOW,730701000,ST PATRICK'S ELEMENTARY SCHOOL,182,13,12,25,13.74
2014-2015,RICHARDSON,740056000,FALLS CITY PUBLIC SCHOOLS,863,360,117,477,55.27
2014-2015,RICHARDSON,740070000,HUMBOLDT TABLE ROCK STEINAUER,395,150,64,214,54.18
2014-2015,RICHARDSON,740702000,SACRED HEART SCHOOLS,228,19,21,40,17.54
2014-2015,ROCK,750100000,ROCK COUNTY PUBLIC SCHOOLS,207,53,33,86,41.55
2014-2015,SALINE,760002000,CRETE PUBLIC SCHOOLS,1852,826,173,999,53.94
2014-2015,SALINE,760044000,DORCHESTER PUBLIC SCHOOL,182,55,15,70,38.46
2014-2015,SALINE,760068000,FRIEND PUBLIC SCHOOLS,277,43,42,85,30.69
2014-2015,SALINE,760082000,WILBER-CLATONIA PUBLIC SCHOOLS,580,116,37,153,26.38
2014-2015,SALINE,760701000,ST JAMES ELEMENTARY SCHOOL,82,,,35,42.68
2014-2015,SALINE,760703000,ZION LUTHERAN ELEMENTARY SCH,3,,,,
2014-2015,SARPY,770001000,BELLEVUE PUBLIC SCHOOLS,10076,2709,1101,3810,37.81
2014-2015,SARPY,770027000,PAPILLION-LA VISTA PUBLIC SCHS,11401,1729,545,2274,19.95
2014-2015,SARPY,770037000,GRETNA PUBLIC SCHOOLS,3953,194,168,362,9.16
2014-2015,SARPY,770046000,SPRINGFIELD PLATTEVIEW COMMUNITY SCHOOLS,1137,111,77,188,16.53
2014-2015,SARPY,770701000,ST MARY ELEMENTARY SCHOOL,204,,,34,16.67
